4.028801914,1.821647151,1.893413035,1.777306629,1.930061151,0.487440185,3.27713022,1.54753561,3.999486672,2.82730489,0.609446916,1.050498735,3.761206039,1.872333326,2.418803165,9.372202034
4.367183559,5.642164327,3.788500041,3.282921097,2.514206076,1.148170437,4.439475214,1.669878315,4.645996056,2.949226585,6.219996611,2.770889037,4.218563321,2.032646238,4.545526221,11.57797384
6.677871514,7.047313262,4.699606061,5.070473692,3.616405031,1.343870499,6.55976909,2.693501859,10.80741346,3.755529043,6.826052545,3.687185008,4.947501082,5.57972723,5.237933656,14.56874994
8.063476078,12.01917867,5.107478158,5.404305803,4.24857892,4.09897179,9.175176219,3.32394673,11.80704867,5.928988304,8.710391294,4.631307796,5.945929201,7.006992784,5.270125289,17.53698998
9.027017418,12.31340174,5.641425721,5.987867615,5.424632407,7.806495949,12.01965868,4.379439932,12.49014023,6.298125702,9.033672712,6.516540657,5.976325518,7.774501218,6.210747602,21.8880444
9.065366065,15.501254,8.77507324,6.755118528,5.972427076,9.261709116,12.22765754,4.648576128,12.79272737,7.145196323,9.122668194,8.058364867,8.839292934,9.078837213,7.653473537,22.6152961
9.68331354,17.44618103,11.20296977,7.047783047,6.386021664,10.95774302,13.06483039,5.695885879,15.80338394,7.255756617,9.90187041,8.95690939,9.20786587,10.34679064,7.701993581,28.47355692
10.18981519,17.61553964,14.68992908,8.984396395,6.903344391,11.11289957,13.12889085,5.993918159,16.57489282,8.24692573,10.04632024,10.25504395,10.15053796,10.49501626,8.742214555,30.61596147
10.72917885,18.81591259,15.29306915,9.642167168,8.646526892,14.90896421,14.76489229,6.339959415,17.88757452,8.665249221,10.16304327,10.74824509,11.1397337,11.86357207,12.09518575,33.78173959
11.70096438,20.45062536,15.7097884,13.42837175,9.292828413,17.25170218,16.14650877,7.386525058,22.09774667,9.305005754,10.97290893,10.9617135,11.37745603,12.60231113,12.28550679,34.86366862
