-84.00719473,,,,,,,
0.654722957,0.725731969,0.087645746,27.41564517,24.665333,38.12102736,13.41606331,2373.940707
,,,,,,,
9564.441916,,,,,,,
1.037166865,0.577769814,8.809876932,88.48890444,,,,
4.685508213,3.155853084,12.07908871,3.792119952,,,,
19512051.74,,,,,,,
3249.973262,5651.170746,22.03572827,3610.193197,,,,
10505.37247,9617.285597,38.20543781,693.1098532,,,,
11813.39944,,,,,,,
1.108163541,0.246307563,8.925293087,262.0003749,,,,
2.529926163,1.221957448,15.71442539,72.08467645,,,,9992.137635970512
1.516980048816251,0.7243235856548704,5.04448663465417,17.940491441098402
4.591984661119462,6.06908064387638,9.77099509416316,24.02770378572677
14480.023264218562
0.08128122535076487,0.47038328623925585,6.647442283652147,212.8175027515149
7.770850769516646,1.5646462006715058,22.295530616414247,74.41510546213794
